sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[  48s] threads: 1, tps: 41.00, reads: 575.94, writes: 0.00, response time: 26.91ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1, tps: 41.00, reads: 567.06, writes: 0.00, response time: 28.02ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 39.00, reads: 552.01, writes: 0.00, response time: 28.36ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 1, tps: 41.00, reads: 573.98, writes: 0.00, response time: 26.27ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 1, tps: 45.00, reads: 626.94, writes: 0.00, response time: 25.64ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 1, tps: 45.00, reads: 635.05, writes: 0.00, response time: 25.90ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 1, tps: 45.00, reads: 629.02, writes: 0.00, response time: 25.64ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 1, tps: 43.00, reads: 601.99, writes: 0.00, response time: 26.36ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 1, tps: 40.00, reads: 554.95, writes: 0.00, response time: 28.01ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 1, tps: 43.00, reads: 606.06, writes: 0.00, response time: 26.23ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 1, tps: 40.00, reads: 562.01, writes: 0.00, response time: 27.20ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 1, tps: 41.00, reads: 565.00, writes: 0.00, response time: 27.43ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 42.00, reads: 597.96, writes: 0.00, response time: 26.06ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 1, tps: 40.00, reads: 560.04, writes: 0.00, response time: 28.96ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 1, tps: 47.00, reads: 658.01, writes: 0.00, response time: 24.20ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 1, tps: 46.00, reads: 644.99, writes: 0.00, response time: 24.43ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 1, tps: 44.00, reads: 614.94, writes: 0.00, response time: 26.28ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 1, tps: 43.00, reads: 592.06, writes: 0.00, response time: 28.10ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 1, tps: 39.00, reads: 555.00, writes: 0.00, response time: 30.22ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 1, tps: 42.00, reads: 577.99, writes: 0.00, response time: 27.12ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 1, tps: 41.00, reads: 581.94, writes: 0.00, response time: 26.97ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 1, tps: 40.00, reads: 560.06, writes: 0.00, response time: 28.01ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 43.00, reads: 592.01, writes: 0.00, response time: 26.97ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 1, tps: 42.00, reads: 596.99, writes: 0.00, response time: 27.50ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 1, tps: 45.00, reads: 622.02, writes: 0.00, response time: 25.82ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 1, tps: 41.00, reads: 582.98, writes: 0.00, response time: 27.81ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 1, tps: 41.00, reads: 577.01, writes: 0.00, response time: 27.60ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 1, tps: 41.00, reads: 569.00, writes: 0.00, response time: 30.10ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 1, tps: 43.00, reads: 606.94, writes: 0.00, response time: 27.36ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 1, tps: 42.00, reads: 582.05, writes: 0.00, response time: 26.43ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 1, tps: 42.00, reads: 593.01, writes: 0.00, response time: 25.17ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 1, tps: 41.00, reads: 574.99, writes: 0.00, response time: 26.45ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 41.00, reads: 567.97, writes: 0.00, response time: 28.64ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 1, tps: 42.00, reads: 590.03, writes: 0.00, response time: 27.80ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 1, tps: 42.00, reads: 590.01, writes: 0.00, response time: 27.33ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 1, tps: 44.00, reads: 614.99, writes: 0.00, response time: 25.53ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 1, tps: 40.00, reads: 561.94, writes: 0.00, response time: 27.14ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 1, tps: 40.00, reads: 556.06, writes: 0.00, response time: 30.26ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 1, tps: 43.00, reads: 594.01, writes: 0.00, response time: 27.04ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 1, tps: 39.00, reads: 552.99, writes: 0.00, response time: 27.61ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 1, tps: 42.00, reads: 580.94, writes: 0.00, response time: 26.80ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 1, tps: 40.00, reads: 564.05, writes: 0.00, response time: 28.87ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 39.00, reads: 550.01, writes: 0.00, response time: 29.28ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 1, tps: 42.00, reads: 580.99, writes: 0.00, response time: 26.76ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 1, tps: 40.00, reads: 567.94, writes: 0.00, response time: 27.66ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 1, tps: 40.00, reads: 564.06, writes: 0.00, response time: 29.76ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 1, tps: 41.00, reads: 567.00, writes: 0.00, response time: 28.74ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 1, tps: 40.00, reads: 562.00, writes: 0.00, response time: 27.38ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 1, tps: 40.00, reads: 557.95, writes: 0.00, response time: 31.89ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 1, tps: 41.00, reads: 578.05, writes: 0.00, response time: 28.23ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 1, tps: 42.00, reads: 591.01, writes: 0.00, response time: 26.51ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 1, tps: 41.00, reads: 568.00, writes: 0.00, response time: 27.50ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 39.00, reads: 549.94, writes: 0.00, response time: 29.29ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 1, tps: 38.00, reads: 534.06, writes: 0.00, response time: 35.75ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 1, tps: 40.00, reads: 549.99, writes: 0.00, response time: 34.64ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 1, tps: 39.00, reads: 557.01, writes: 0.00, response time: 29.58ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 1, tps: 38.00, reads: 525.94, writes: 0.00, response time: 36.76ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 1, tps: 39.01, reads: 542.07, writes: 0.00, response time: 30.46ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 1, tps: 39.00, reads: 551.98, writes: 0.00, response time: 32.70ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 1, tps: 35.00, reads: 494.00, writes: 0.00, response time: 35.34ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 1, tps: 39.00, reads: 541.94, writes: 0.00, response time: 32.29ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 1, tps: 41.00, reads: 577.06, writes: 0.00, response time: 28.17ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 39.00, reads: 542.00, writes: 0.00, response time: 29.44ms (95%), errors: 0.00, reconnects:  0.00
[ 111s] threads: 1, tps: 40.00, reads: 558.99, writes: 0.00, response time: 30.56ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 1, tps: 41.00, reads: 565.94, writes: 0.00, response time: 29.58ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 1, tps: 39.00, reads: 547.05, writes: 0.00, response time: 28.79ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 1, tps: 40.00, reads: 570.02, writes: 0.00, response time: 29.77ms (95%), errors: 0.00, reconnects:  0.00
[ 115s] threads: 1, tps: 40.00, reads: 558.99, writes: 0.00, response time: 29.37ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 1, tps: 38.00, reads: 531.95, writes: 0.00, response time: 33.97ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 1, tps: 41.00, reads: 566.05, writes: 0.00, response time: 28.45ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 1, tps: 40.00, reads: 568.02, writes: 0.00, response time: 30.09ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 1, tps: 40.00, reads: 559.99, writes: 0.00, response time: 27.09ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 39.00, reads: 542.95, writes: 0.00, response time: 30.91ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 1, tps: 39.00, reads: 551.05, writes: 0.00, response time: 28.98ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 1, tps: 41.00, reads: 572.02, writes: 0.00, response time: 29.19ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 1, tps: 38.00, reads: 527.99, writes: 0.00, response time: 39.92ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 1, tps: 42.00, reads: 593.94, writes: 0.00, response time: 28.11ms (95%), errors: 0.00, reconnects:  0.00
[ 125s] threads: 1, tps: 44.00, reads: 616.06, writes: 0.00, response time: 25.35ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 1, tps: 44.00, reads: 618.00, writes: 0.00, response time: 28.45ms (95%), errors: 0.00, reconnects:  0.00
[ 127s] threads: 1, tps: 41.00, reads: 570.99, writes: 0.00, response time: 31.20ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 1, tps: 44.00, reads: 617.96, writes: 0.00, response time: 24.52ms (95%), errors: 0.00, reconnects:  0.00
[ 129s] threads: 1, tps: 41.00, reads: 575.04, writes: 0.00, response time: 27.40ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 41.00, reads: 562.01, writes: 0.00, response time: 30.36ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 1, tps: 41.00, reads: 572.00, writes: 0.00, response time: 26.95ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 1, tps: 40.00, reads: 570.01, writes: 0.00, response time: 31.67ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 1, tps: 44.00, reads: 607.98, writes: 0.00, response time: 26.06ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 1, tps: 41.00, reads: 582.01, writes: 0.00, response time: 27.79ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 1, tps: 40.00, reads: 560.99, writes: 0.00, response time: 27.43ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 1, tps: 41.00, reads: 576.00, writes: 0.00, response time: 29.13ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 1, tps: 41.00, reads: 572.99, writes: 0.00, response time: 30.15ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 1, tps: 42.00, reads: 587.02, writes: 0.00, response time: 27.80ms (95%), errors: 0.00, reconnects:  0.00
[ 139s] threads: 1, tps: 42.00, reads: 582.99, writes: 0.00, response time: 27.53ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 45.00, reads: 624.94, writes: 0.00, response time: 26.06ms (95%), errors: 0.00, reconnects:  0.00
[ 141s] threads: 1, tps: 44.00, reads: 627.07, writes: 0.00, response time: 24.91ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 1, tps: 38.00, reads: 533.00, writes: 0.00, response time: 33.65ms (95%), errors: 0.00, reconnects:  0.00
[ 143s] threads: 1, tps: 41.00, reads: 567.99, writes: 0.00, response time: 28.66ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 1, tps: 46.00, reads: 646.94, writes: 0.00, response time: 23.63ms (95%), errors: 0.00, reconnects:  0.00
[ 145s] threads: 1, tps: 45.00, reads: 634.07, writes: 0.00, response time: 25.09ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 1, tps: 44.00, reads: 614.01, writes: 0.00, response time: 26.32ms (95%), errors: 0.00, reconnects:  0.00
[ 147s] threads: 1, tps: 40.00, reads: 560.00, writes: 0.00, response time: 32.29ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 1, tps: 41.00, reads: 562.94, writes: 0.00, response time: 28.93ms (95%), errors: 0.00, reconnects:  0.00
[ 149s] threads: 1, tps: 42.00, reads: 588.06, writes: 0.00, response time: 29.95ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 41.00, reads: 582.00, writes: 0.00, response time: 27.07ms (95%), errors: 0.00, reconnects:  0.00
[ 151s] threads: 1, tps: 40.00, reads: 562.99, writes: 0.00, response time: 27.54ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 1, tps: 45.00, reads: 630.94, writes: 0.00, response time: 26.32ms (95%), errors: 0.00, reconnects:  0.00
[ 153s] threads: 1, tps: 46.00, reads: 641.06, writes: 0.00, response time: 24.14ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 1, tps: 41.00, reads: 576.01, writes: 0.00, response time: 27.26ms (95%), errors: 0.00, reconnects:  0.00
[ 155s] threads: 1, tps: 39.00, reads: 537.99, writes: 0.00, response time: 33.32ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 1, tps: 42.00, reads: 593.96, writes: 0.00, response time: 27.34ms (95%), errors: 0.00, reconnects:  0.00
