sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[  48s] threads: 1, tps: 50.01, reads: 698.10, writes: 0.00, response time: 23.03ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1, tps: 50.00, reads: 701.96, writes: 0.00, response time: 21.51ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 48.00, reads: 674.01, writes: 0.00, response time: 21.36ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 1, tps: 52.00, reads: 729.97, writes: 0.00, response time: 21.26ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 1, tps: 52.00, reads: 726.06, writes: 0.00, response time: 21.23ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 1, tps: 50.00, reads: 694.95, writes: 0.00, response time: 22.83ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 1, tps: 50.00, reads: 698.02, writes: 0.00, response time: 22.01ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 1, tps: 48.00, reads: 678.98, writes: 0.00, response time: 22.80ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 1, tps: 49.00, reads: 689.05, writes: 0.00, response time: 22.64ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 1, tps: 51.00, reads: 711.96, writes: 0.00, response time: 22.09ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 1, tps: 50.00, reads: 695.02, writes: 0.00, response time: 24.23ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 1, tps: 53.99, reads: 763.93, writes: 0.00, response time: 20.80ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 51.01, reads: 713.09, writes: 0.00, response time: 21.32ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 1, tps: 50.00, reads: 700.97, writes: 0.00, response time: 22.16ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 1, tps: 53.00, reads: 737.99, writes: 0.00, response time: 20.95ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 1, tps: 52.00, reads: 717.98, writes: 0.00, response time: 22.23ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 1, tps: 49.00, reads: 696.05, writes: 0.00, response time: 22.31ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 1, tps: 49.00, reads: 687.94, writes: 0.00, response time: 23.86ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 1, tps: 51.00, reads: 705.03, writes: 0.00, response time: 21.49ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 1, tps: 50.00, reads: 703.93, writes: 0.00, response time: 21.81ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 1, tps: 50.01, reads: 702.09, writes: 0.00, response time: 23.07ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 1, tps: 52.00, reads: 730.96, writes: 0.00, response time: 20.89ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 50.00, reads: 699.01, writes: 0.00, response time: 21.36ms (95%), errors: 0.00, reconnects:  0.00
