sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[  47s] threads: 1, tps: 278.01, reads: 3885.12, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 1, tps: 269.99, reads: 3776.91, writes: 0.00, response time: 4.21ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1, tps: 272.97, reads: 3821.52, writes: 0.00, response time: 4.04ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 273.04, reads: 3830.49, writes: 0.00, response time: 4.08ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 1, tps: 272.00, reads: 3811.06, writes: 0.00, response time: 4.05ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 1, tps: 270.00, reads: 3770.95, writes: 0.00, response time: 4.26ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 1, tps: 275.96, reads: 3867.50, writes: 0.00, response time: 4.03ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 1, tps: 267.04, reads: 3743.50, writes: 0.00, response time: 4.12ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 1, tps: 285.00, reads: 3987.05, writes: 0.00, response time: 3.85ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 1, tps: 251.00, reads: 3510.93, writes: 0.00, response time: 5.31ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 1, tps: 266.96, reads: 3732.47, writes: 0.00, response time: 4.36ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 1, tps: 276.04, reads: 3872.55, writes: 0.00, response time: 3.89ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 1, tps: 284.00, reads: 3974.04, writes: 0.00, response time: 3.94ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 276.00, reads: 3865.94, writes: 0.00, response time: 4.00ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 1, tps: 278.98, reads: 3911.70, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 1, tps: 278.02, reads: 3883.30, writes: 0.00, response time: 4.00ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 1, tps: 267.00, reads: 3740.03, writes: 0.00, response time: 4.34ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 1, tps: 278.00, reads: 3886.94, writes: 0.00, response time: 4.03ms (95%), errors: 0.00, reconnects:  0.00
